 #r   AErefrv      Krveff      Har    vxc    Unscreened  Ktvt
   0.0000000E+00  -1.8000000E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.3551111E-07  -1.8000002E+02   0.0000000E+00   7.8411484E-06  -7.9212539E-07  -7.0490230E-06   0.0000000E+00   0.0000000E+00
   1.0747464E-06  -1.7999986E+02   0.0000000E+00   1.5736827E-05  -1.5897595E-06  -1.4147068E-05   0.0000000E+00   0.0000000E+00
   1.6177317E-06  -1.7999965E+02   0.0000000E+00   2.3687415E-05  -2.3929407E-06  -2.1294475E-05   0.0000000E+00   0.0000000E+00
   2.1644931E-06  -1.7999940E+02   0.0000000E+00   3.1693295E-05  -3.2017075E-06  -2.8491588E-05   0.0000000E+00   0.0000000E+00
   2.7150569E-06  -1.7999913E+02   0.0000000E+00   3.9754851E-05  -4.0160988E-06  -3.5738752E-05   0.0000000E+00   0.0000000E+00
   3.2694495E-06  -1.7999884E+02   0.0000000E+00   4.7872469E-05  -4.8361537E-06  -4.3036316E-05   0.0000000E+00   0.0000000E+00
   3.8276976E-06  -1.7999854E+02   0.0000000E+00   5.6046541E-05  -5.6619115E-06  -5.0384630E-05   0.0000000E+00   0.0000000E+00
   4.3898280E-06  -1.7999822E+02   0.0000000E+00   6.4277458E-05  -6.4934120E-06  -5.7784046E-05   0.0000000E+00   0.0000000E+00
   4.9558676E-06  -1.7999789E+02   0.0000000E+00   7.2565617E-05  -7.3306950E-06  -6.5234922E-05   0.0000000E+00   0.0000000E+00
   5.5258437E-06  -1.7999755E+02   0.0000000E+00   8.0911414E-05  -8.1738008E-06  -7.2737613E-05   0.0000000E+00   0.0000000E+00
   6.0997836E-06  -1.7999720E+02   0.0000000E+00   8.9315251E-05  -9.0227699E-06  -8.0292481E-05   0.0000000E+00   0.0000000E+00
   6.6777150E-06  -1.7999685E+02   0.0000000E+00   9.7777531E-05  -9.8776431E-06  -8.7899888E-05   0.0000000E+00   0.0000000E+00
   7.2596654E-06  -1.7999648E+02   0.0000000E+00   1.0629866E-04  -1.0738461E-05  -9.5560201E-05   0.0000000E+00   0.0000000E+00
   7.8456630E-06  -1.7999611E+02   0.0000000E+00   1.1487905E-04  -1.1605266E-05  -1.0327379E-04   0.0000000E+00   0.0000000E+00
   8.4357358E-06  -1.7999573E+02   0.0000000E+00   1.2351911E-04  -1.2478099E-05  -1.1104101E-04   0.0000000E+00   0.0000000E+00
   9.0299122E-06  -1.7999535E+02   0.0000000E+00   1.3221926E-04  -1.3357002E-05  -1.1886226E-04   0.0000000E+00   0.0000000E+00
